J,K,N,seed,avg_runtime,prop_no_candidate,prop_generator_empty,prop_identifiable,prop_non_identifiable,count_trivial,count_two_column,count_generator_empty,count_candidate_found
7,5,10,2,0.0001638174057006836,1.0,0.0,0.0,1.0,2,8,0,0
7,5,10,0,0.00018935203552246095,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,12,0.00018372535705566407,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,7,0.0001749753952026367,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,8,0.0001806974411010742,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,9,0.024174261093139648,0.9,0.0,0.0,1.0,0,9,0,1
7,5,10,5,0.5817464351654053,0.9,0.0,0.0,1.0,1,8,0,1
7,5,10,4,1.3871134042739868,0.8,0.0,0.1,0.9,0,8,0,1
7,5,10,21,0.00016999244689941406,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,19,0.00019848346710205078,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,18,0.00021169185638427734,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,32,0.00015571117401123047,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,31,0.00019118785858154296,1.0,0.0,0.0,1.0,2,8,0,0
7,5,10,30,0.0006409883499145508,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,25,1.6534587621688843,0.9,0.0,0.0,1.0,1,8,0,1
7,5,10,29,1.8021788358688355,0.9,0.0,0.0,1.0,0,9,0,1
7,5,10,41,0.00015163421630859375,1.0,0.0,0.0,1.0,2,8,0,0
7,5,10,38,0.00017156600952148438,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,34,0.0017850875854492187,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,40,0.0001614093780517578,1.0,0.0,0.0,1.0,2,8,0,0
7,5,10,33,0.00017726421356201172,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,42,0.0001994609832763672,1.0,0.0,0.0,1.0,3,7,0,0
7,5,10,37,0.00018672943115234376,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,39,0.0005239486694335937,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,20,6.450467658042908,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,17,8.36557297706604,0.9,0.0,0.0,1.0,2,7,0,1
7,5,10,49,0.00017614364624023436,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,45,0.00019986629486083983,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,50,1.8388340950012207,0.9,0.0,0.1,0.9,2,7,0,0
7,5,10,52,1.9008680582046509,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,59,0.00019249916076660156,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,58,0.00016622543334960939,1.0,0.0,0.0,1.0,3,7,0,0
7,5,10,61,0.00020706653594970703,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,54,0.00017189979553222656,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,53,0.00019464492797851562,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,55,0.0001962423324584961,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,56,0.00021390914916992189,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,48,3.527190661430359,0.9,0.0,0.0,1.0,3,6,0,1
7,5,10,28,11.906151986122131,0.9,0.0,0.0,1.0,0,9,0,1
7,5,10,72,0.00019969940185546876,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,69,0.0001864194869995117,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,65,0.00016775131225585938,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,63,0.0001937389373779297,1.0,0.0,0.0,1.0,2,8,0,0
7,5,10,66,0.00020999908447265624,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,71,0.00016396045684814454,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,82,0.00017900466918945311,1.0,0.0,0.0,1.0,3,7,0,0
7,5,10,75,0.00019121170043945312,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,81,0.00024349689483642577,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,78,0.00019812583923339844,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,80,0.1620011329650879,0.9,0.0,0.1,0.9,2,7,0,0
7,5,10,87,0.0003088712692260742,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,88,0.00023279190063476562,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,91,0.00026109218597412107,1.0,0.0,0.0,1.0,0,10,0,0
7,5,10,90,0.00024139881134033203,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,84,0.0673328161239624,0.9,0.0,0.1,0.9,0,9,0,0
7,5,10,74,4.106220269203186,0.8,0.0,0.0,1.0,0,8,0,2
7,5,10,94,0.00017774105072021484,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,97,0.00023818016052246094,1.0,0.0,0.0,1.0,1,9,0,0
7,5,10,93,0.050700592994689944,0.9,0.0,0.1,0.9,2,7,0,0
7,5,10,86,3.3524717569351195,0.9,0.0,0.1,0.9,0,9,0,0
7,5,10,98,1.104061532020569,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,77,7.801099085807801,0.9,0.0,0.0,1.0,0,9,0,1
7,5,10,44,20.880768728256225,0.9,0.0,0.0,1.0,2,7,0,1
7,5,10,70,26.55087616443634,0.9,0.0,0.1,0.9,0,9,0,0
7,5,10,23,54.35910472869873,0.8,0.0,0.2,0.8,1,7,0,0
7,5,10,14,68.54982466697693,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,35,97.3284775018692,0.9,0.0,0.1,0.9,0,9,0,0
7,5,10,83,106.79536337852478,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,3,133.25358455181123,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,13,153.3168961286545,0.9,0.0,0.0,1.0,3,6,0,1
